Bestellnr;Bezeichnung;Anzahl;Preis in €;Preis/Stck.;Link
2356154;Stiftleiste 1x03;1;0,14;0,14;http://de.farnell.com/wurth-elektronik/61300311121/stiftleiste-2-54mm-tht-vertikal/dp/2356154
7992033;Buchse 2x20;2;5,5;2,75;http://de.farnell.com/harwin/m20-7832046/buchse-0-1-pcb-20-20-pol/dp/7992033
2364018;Strommesswiderstand 20m;1;1,15;1,15;http://de.farnell.com/ohmite/mcs3264r020fer/strommesswiderstand-2w-r02-1/dp/2364018
2141505;Chipwiderstand 1R;10;0,012;0,0012;http://de.farnell.com/multicomp/mc0063w060311r0/dickschichtwiderstand-1r-1-0-063w/dp/2141505
2069808;HF-/Koaxialsteckverbinder 50Ohm;2;1,81;0,905;de.farnell.com/multicomp/1712350/buchse-bnc-pcb-r-a-bulk/dp/2069808
9330364;Chipwiderstand 100R;11;0,0132;0,0012;http://de.farnell.com/multicomp/mc0063w06031100r/dickschichtwiderst-100r-1-0-063w/dp/9330364
2447226;Chipwiderstand 100k;10;0,035;0,0035;http://de.farnell.com/multicomp/mcwr06x1003ftl/dickschichtwiderstand-100k-1-0/dp/2447226
2496834;Keramikvielschichtkondensator 100nF;12;0,0948;0,0079;http://de.farnell.com/walsin/0603b104k500ct/kondensator-mlcc-x7r-0-1uf-50v/dp/2496834
2447230;Chipwiderstand 10k;19;0,0665;0,0035;http://de.farnell.com/multicomp/mcwr06x1002ftl/dickschichtwiderstand-10k-1-0/dp/2447230
1703794;Trimmpotentiometer 10k;2;3,48;1,74;http://de.farnell.com/bi-technologies-tt-electronics/67wr10klf/trimmpotentiometer-10k-20-gang/dp/1703794
9451056;Elektrolytkondensator 10uF;4;0,1732;0,0433;de.farnell.com/multicomp/mcgpr16v106m5x11/alu-elko-10uf-16v-radial/dp/9451056
1171000;Chipwiderstand 140k;10;0,015;0,0015;http://de.farnell.com/multicomp/mc0063w06031140k/dickschichtwiderst-140k-1-0-063w/dp/1171000
2496887;Keramikvielschichtkondensator 15pF;10;0,074;0,0074;http://de.farnell.com/walsin/0603n150j500ct/kondensator-mlcc-np0-15pf-50v/dp/2496887
9330410;Chipwiderstand 1M;10;0,012;0,0012;http://de.farnell.com/multicomp/mc0063w060311m/dickschichtwiderstand-1m-1-0-063w/dp/9330410
1651089;Diode 1N4001;2;0,208;0,104;de.farnell.com/american-power-devices/1n4001/diode-netzgleichrichter-35v-1a/dp/1651089
2073348;Chipwiderstand 1k;10;0,142;0,0142;http://de.farnell.com/multicomp/mcmr06x1001ftl/keramikwiderstand-1k-1-0-1w-0603/dp/2073348
2496917;Keramikvielschichtkondensator 1uF;10;0,157;0,0157;http://de.farnell.com/walsin/0603x105k160ct/kondensator-mlcc-x5r-1uf-16v-0603/dp/2496917
1453528;Sicherungshalter;2;0,1176;0,0588;http://de.farnell.com/schurter/0751-0110/sicherungshalter-pcb-mount/dp/1453528
